big_title,sub_title,min_price,max_price,company,origin,car_type,img_src,engine,charger,emission,fuel,fuel_efficiency,occupancy,drive_type,gearshift
2020 마힌드라 타르,2.0 가솔린,1587915.0,1862259.0,마힌드라,수입,소형,https://imgauto-phinf.pstatic.net/20201020_179/auto_1603169940564UzOME_PNG/20201020135803_c96dWIRa.png?type=f152_110,I4,싱글터보,"1,997cc",가솔린, ,4,파트타임4륜구동,"자동6단,수동6단"
2020 마힌드라 타르,2.2 디젤,2468052.3,2894478.3,마힌드라,수입,소형,https://imgauto-phinf.pstatic.net/20201020_179/auto_1603169940564UzOME_PNG/20201020135803_c96dWIRa.png?type=f152_110,I4,싱글터보,"2,184cc",디젤, ,4,파트타임4륜구동,"자동6단,수동6단"
2020 르노 퀴드,0.8 SCe,6157830.0,6157830.0,르노,수입,소형,https://imgauto-phinf.pstatic.net/20191025_52/auto_1571966914182Yu6AV_PNG/20191025102741_maVp34bG.png?type=f152_110,I3,자연흡기,799cc,가솔린,,5,전륜구동,수동5단
2020 르노 퀴드,1.0 SCe,6456030.0,6456030.0,르노,수입,소형,https://imgauto-phinf.pstatic.net/20191025_52/auto_1571966914182Yu6AV_PNG/20191025102741_maVp34bG.png?type=f152_110,I3,자연흡기,999cc,가솔린,,5,전륜구동,자동5단
2020 타타 티아고,1.2 가솔린,6858600.0,8498700.0,타타,수입,소형,https://imgauto-phinf.pstatic.net/20200414_266/auto_1586849380774xjYBO_PNG/20200414162932_auQuXoXT.png?type=f152_110,I3,자연흡기,"1,199cc",가솔린,,5,전륜구동,수동5단
2018 아브토바즈 라다 그란타,1.6 가솔린,7096252.0,7096252.0,아브토바즈,수입,소형,https://imgauto-phinf.pstatic.net/20191021_175/auto_1571644508915onUEu_PNG/20191021165415_oH8dtIxh.png?type=f152_110,I4,자연흡기,"1,596cc",가솔린,수동6.8ℓ/100km ,5,전륜구동,수동5단
2020 스즈키 이그니스,1.2 가솔린,7290990.0,7290990.0,스즈키,수입,소형,https://imgauto-phinf.pstatic.net/20200304_239/auto_1583296742043mVQf3_PNG/20200304133848_0LuszRoj.png?type=f152_110,I4,자연흡기,"1,242cc",가솔린,,5,전륜구동,자동(CVT)
2020 르노 트라이버,1.0 SCe,7380450.0,7380450.0,르노,수입,소형,https://imgauto-phinf.pstatic.net/20191025_300/auto_1571968008152XR4D1_PNG/20191025104543_KkkP7oHu.png?type=f152_110,I3,싱글터보,999cc,가솔린,,5,전륜구동,자동5단
2020 닛산 마그나이트,1.0 가솔린,7902300.0,7902300.0,닛산,수입,소형,https://imgauto-phinf.pstatic.net/20201022_129/auto_1603332730901EUhdL_PNG/20201022111207_FJtCgBjN.png?type=f152_110,I3,자연흡기,998cc,가솔린,,5,전륜구동,자동(CVT)
2020 시트로엥 에이미,EV,8082360.0,8082360.0,시트로엥,수입,경형,https://imgauto-phinf.pstatic.net/20200228_152/auto_1582865450320LqWiq_PNG/20200228135045_J5wuwbBr.png?type=f152_110,,,,전기,,2,,자동
